Date,Opening Price,Maximum Price,Minimum Price,Closing Price
26.09.2018,114260,114280,114230,114280
26.09.2018,114280,114280,114250,114260
26.09.2018,114260,114290,114260,114290
26.09.2018,114280,114330,114280,114320
26.09.2018,114310,114310,114260,114270
26.09.2018,114280,114340,114260,114330
26.09.2018,114330,114390,114330,114360
26.09.2018,114360,114360,114300,114300
26.09.2018,114300,114310,114260,114260
26.09.2018,114260,114350,114250,114330
26.09.2018,114340,114370,114310,114360
26.09.2018,114360,114380,114350,114370
26.09.2018,114370,114420,114360,114390
26.09.2018,114390,114410,114340,114340
26.09.2018,114340,114390,114340,114380
26.09.2018,114370,114500,114350,114490
26.09.2018,114480,114540,114470,114480
26.09.2018,114480,114530,114470,114470
26.09.2018,114470,114490,114420,114420
26.09.2018,114420,114420,114400,114400
26.09.2018,114410,114480,114380,114470
26.09.2018,114460,114500,114450,114490
26.09.2018,114490,114530,114480,114480
26.09.2018,114480,114570,114480,114570
26.09.2018,114560,114610,114520,114570
26.09.2018,114580,114590,114520,114540
26.09.2018,114540,114540,114490,114500
26.09.2018,114500,114530,114500,114520
26.09.2018,114520,114580,114520,114560
26.09.2018,114560,114580,114550,114550
26.09.2018,114560,114600,114550,114550
26.09.2018,114560,114570,114510,114570
26.09.2018,114570,114580,114530,114560
26.09.2018,114560,114610,114540,114600
26.09.2018,114600,114600,114550,114590
26.09.2018,114580,114620,114580,114590
26.09.2018,114590,114600,114530,114560
26.09.2018,114550,114590,114540,114540
26.09.2018,114540,114560,114500,114520
26.09.2018,114530,114540,114490,114490
26.09.2018,114490,114530,114490,114510
26.09.2018,114520,114570,114510,114540
26.09.2018,114530,114540,114500,114500
26.09.2018,114500,114530,114470,114510
26.09.2018,114530,114530,114480,114490
26.09.2018,114480,114480,114440,114450
26.09.2018,114450,114470,114400,114440
26.09.2018,114440,114440,114420,114430
26.09.2018,114430,114460,114410,114450
26.09.2018,114460,114490,114450,114490
26.09.2018,114500,114530,114460,114500
26.09.2018,114500,114550,114470,114540
26.09.2018,114530,114630,114510,114620
26.09.2018,114620,114630,114570,114620
26.09.2018,114620,114650,114570,114620
26.09.2018,114620,114690,114610,114610
26.09.2018,114610,114630,114580,114580
26.09.2018,114580,114640,114560,114620
26.09.2018,114610,114650,114610,114630
26.09.2018,114620,114630,114570,114600
26.09.2018,114610,114620,114570,114600
26.09.2018,114590,114640,114580,114610
26.09.2018,114610,114650,114600,114630
26.09.2018,114640,114690,114630,114670
26.09.2018,114670,114740,114670,114740
26.09.2018,114730,114760,114690,114760
26.09.2018,114760,114790,114730,114740
26.09.2018,114740,114830,114740,114790
26.09.2018,114800,114840,114780,114840
26.09.2018,114850,114860,114790,114800
26.09.2018,114790,114810,114750,114780
26.09.2018,114780,114800,114740,114780
26.09.2018,114790,114810,114760,114800
26.09.2018,114800,114840,114780,114820
26.09.2018,114830,114840,114750,114750
26.09.2018,114760,114770,114730,114730
26.09.2018,114720,114750,114700,114700
26.09.2018,114700,114720,114680,114690
26.09.2018,114690,114750,114690,114730
26.09.2018,114740,114810,114730,114790
26.09.2018,114810,114880,114790,114860
26.09.2018,114860,114880,114850,114860
26.09.2018,114860,114930,114840,114920
26.09.2018,114920,114940,114900,114920
26.09.2018,114910,114910,114850,114880
26.09.2018,114880,114890,114820,114850
26.09.2018,114840,114880,114840,114850
26.09.2018,114840,114870,114810,114820
26.09.2018,114810,114850,114810,114830
26.09.2018,114840,114870,114820,114870
26.09.2018,114870,114870,114780,114800
